Age,Income,City,Vehicle_Budget,Driving_Habits,Environmental_Concern,Will_Buy_EV
58.0,1983367.0,Pune,1921390,Low,2,1
48.0,1943685.0,Mumbai,877755,High,4,1
34.0,1453405.0,Pune,1203041,Medium,1,0
62.0,517798.0,Mumbai,1568408,High,1,1
27.0,5804888.0,Hyderabad,686564,Medium,3,1
40.0,690783.0,Bangalore,641574,High,2,1
58.0,1041813.0,Mumbai,326965,High,1,1
38.0,5228708.0,Delhi,796368,Medium,2,1
42.0,1394730.0,Bangalore,985918,Medium,4,0
30.0,870008.0,Hyderabad,884095,High,3,0
30.0,986796.0,Bangalore,1138952,Low,2,1
43.0,1414216.0,Mumbai,1785737,Low,3,0
55.0,1197150.0,Hyderabad,1971847,Low,2,0
59.0,664710.0,Delhi,1470770,Low,2,0
43.0,1978568.0,Mumbai,1955531,Low,5,1
22.0,1518156.0,Mumbai,1310469,Medium,3,0
41.0,1597433.0,Hyderabad,1235209,Low,2,0
21.0,1273120.0,Hyderabad,488151,Medium,5,1
43.0,1311871.0,Bangalore,1270404,Low,5,1
,1654430.0,Delhi,1477911,Medium,3,0
49.0,921075.0,Bangalore,1790502,Low,4,1
57.0,269409.0,Bangalore,1305286,Low,3,0
21.0,1200610.0,Mumbai,869398,Medium,2,0
40.0,721998.0,Hyderabad,562677,Medium,4,0
52.0,1899703.0,Mumbai,1661690,High,3,1
31.0,575903.0,Delhi,1901640,Low,3,1
41.0,1527877.0,Bangalore,1265806,Low,3,1
63.0,1425213.0,Delhi,1629445,Medium,3,0
44.0,925356.0,Hyderabad,1412943,Medium,4,1
46.0,790176.0,Hyderabad,1682950,Low,2,0
61.0,387167.0,Pune,894830,Low,5,0
47.0,1728914.0,Delhi,392534,Medium,3,1
35.0,204507.0,Mumbai,664993,Medium,5,1
34.0,1292564.0,Delhi,735644,Low,5,1
63.0,560565.0,Bangalore,1077275,Medium,5,0
22.0,872225.0,Hyderabad,1968487,Medium,3,1
56.0,1613311.0,Hyderabad,927499,Low,3,0
26.0,1640334.0,Delhi,1415347,High,3,0
40.0,227213.0,Delhi,474746,Medium,3,1
28.0,1173458.0,Delhi,1587852,High,1,0
,1306026.0,Bangalore,397519,Medium,2,0
37.0,597693.0,Bangalore,782791,High,1,1
23.0,1835086.0,Mumbai,1575600,Medium,4,1
44.0,718728.0,Delhi,1153113,High,1,0
33.0,1927332.0,Mumbai,1241308,High,1,0
28.0,1261331.0,Pune,1612195,Medium,1,1
45.0,1904801.0,Bangalore,1999667,High,2,1
21.0,1390821.0,Hyderabad,1924937,Low,5,1
39.0,1438553.0,Pune,1882911,Low,4,1
47.0,1417745.0,Hyderabad,1212536,Low,4,0
26.0,1544091.0,Pune,770908,High,2,0
63.0,435132.0,Mumbai,1706677,Medium,1,0
27.0,604470.0,Mumbai,1179923,High,5,0
54.0,335090.0,Bangalore,1436175,Medium,3,0
33.0,991624.0,Hyderabad,1397020,High,2,0
36.0,988447.0,Pune,487920,Medium,5,0
55.0,1094586.0,Delhi,1697578,High,2,0
59.0,924276.0,Delhi,1544504,High,2,0
23.0,1801207.0,Bangalore,511540,Low,3,0
21.0,1055738.0,Hyderabad,1722617,High,5,0
25.0,1254405.0,Delhi,737455,Low,1,0
61.0,1807245.0,Bangalore,882183,Medium,5,0
23.0,1097883.0,Bangalore,1782735,Medium,5,0
48.0,412153.0,Hyderabad,362559,Low,1,1
37.0,480407.0,Delhi,1241507,High,3,1
45.0,959036.0,Delhi,977861,Medium,5,0
63.0,646476.0,Delhi,593236,High,1,1
53.0,684427.0,Mumbai,1560167,High,2,1
29.0,520562.0,Delhi,1121036,High,2,0
55.0,1994834.0,Pune,649968,Medium,1,1
33.0,724436.0,Mumbai,608904,Medium,2,1
50.0,1119258.0,Mumbai,306476,High,5,0
34.0,797202.0,Mumbai,1215848,Low,1,1
27.0,1753687.0,Mumbai,398138,Low,5,1
33.0,1309229.0,Bangalore,1601609,Low,4,1
42.0,1996471.0,Pune,1456196,High,3,1
59.0,392593.0,Hyderabad,1464646,Low,3,0
40.0,540459.0,Delhi,1424074,Medium,3,0
35.0,1541795.0,Mumbai,328439,Low,1,0
64.0,1172048.0,Hyderabad,303400,Low,4,0
37.0,209795.0,Bangalore,1438552,High,3,0
43.0,1837419.0,Hyderabad,543305,Medium,5,1
